# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 07.58m,0000088115Hz,0000000000c,0000000.000s, 022.5C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-04-28T18:36:04.059
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-04-20T22:00:05.000;2019-04-20T23:00:05.000;8.0;5.00;19.30;1
2019-04-20T22:05:05.000;2019-04-20T23:05:05.000;7.7;5.00;19.27;1
2019-04-20T22:10:05.000;2019-04-20T23:10:05.000;7.7;5.00;19.22;1
2019-04-20T22:15:05.000;2019-04-20T23:15:05.000;7.7;5.00;19.23;1
2019-04-20T22:20:05.000;2019-04-20T23:20:05.000;7.4;5.00;19.30;1
2019-04-20T22:25:05.000;2019-04-20T23:25:05.000;7.4;5.00;19.34;1
2019-04-20T22:30:05.000;2019-04-20T23:30:05.000;7.4;5.00;19.30;1
2019-04-20T22:35:05.000;2019-04-20T23:35:05.000;7.4;5.00;19.19;1
2019-04-20T22:40:05.000;2019-04-20T23:40:05.000;7.4;5.00;19.03;1
2019-04-20T22:45:05.000;2019-04-20T23:45:05.000;7.4;5.00;19.00;1
2019-04-20T22:50:05.000;2019-04-20T23:50:05.000;7.0;5.00;18.93;1
2019-04-20T22:55:05.000;2019-04-20T23:55:05.000;7.0;5.00;18.88;1
2019-04-20T23:00:05.000;2019-04-21T00:00:05.000;6.7;5.00;18.92;1
2019-04-20T23:05:05.000;2019-04-21T00:05:05.000;6.7;5.00;18.96;1
2019-04-20T23:10:05.000;2019-04-21T00:10:05.000;6.4;5.00;19.02;1
2019-04-20T23:15:05.000;2019-04-21T00:15:05.000;6.4;5.00;18.88;1
2019-04-20T23:20:05.000;2019-04-21T00:20:05.000;6.4;5.00;18.79;1
2019-04-20T23:25:05.000;2019-04-21T00:25:05.000;6.1;5.00;18.81;1
2019-04-20T23:30:05.000;2019-04-21T00:30:05.000;6.1;5.00;18.84;1
2019-04-20T23:35:05.000;2019-04-21T00:35:05.000;5.8;5.00;18.79;1
2019-04-20T23:40:05.000;2019-04-21T00:40:05.000;5.8;5.00;18.83;1
2019-04-20T23:45:05.000;2019-04-21T00:45:05.000;5.8;5.00;18.88;1
2019-04-20T23:50:05.000;2019-04-21T00:50:05.000;5.8;5.00;18.83;1
2019-04-20T23:55:05.000;2019-04-21T00:55:05.000;5.8;5.00;18.78;1
2019-04-21T00:00:05.000;2019-04-21T01:00:05.000;5.4;5.00;18.81;1
2019-04-21T00:05:05.000;2019-04-21T01:05:05.000;5.4;5.00;18.87;1
2019-04-21T00:10:05.000;2019-04-21T01:10:05.000;5.1;5.00;18.86;1
2019-04-21T00:15:05.000;2019-04-21T01:15:05.000;5.1;5.00;18.86;1
2019-04-21T00:20:05.000;2019-04-21T01:20:05.000;5.1;5.00;18.77;1
2019-04-21T00:25:05.000;2019-04-21T01:25:05.000;5.1;5.00;18.71;1
2019-04-21T00:30:05.000;2019-04-21T01:30:05.000;4.8;5.00;18.65;1
2019-04-21T00:35:05.000;2019-04-21T01:35:05.000;4.8;5.00;18.65;1
2019-04-21T00:40:05.000;2019-04-21T01:40:05.000;4.8;5.00;18.59;1
2019-04-21T00:45:05.000;2019-04-21T01:45:05.000;4.8;5.00;18.42;1
2019-04-21T00:50:05.000;2019-04-21T01:50:05.000;4.5;5.00;18.46;1
2019-04-21T00:55:05.000;2019-04-21T01:55:05.000;4.5;5.00;18.57;1
2019-04-21T01:00:05.000;2019-04-21T02:00:05.000;4.5;5.00;18.51;1
2019-04-21T01:05:05.000;2019-04-21T02:05:05.000;4.5;5.00;18.44;1
2019-04-21T01:10:05.000;2019-04-21T02:10:05.000;4.5;5.00;18.48;1
2019-04-21T01:15:05.000;2019-04-21T02:15:05.000;4.5;5.00;18.60;1
2019-04-21T01:20:05.000;2019-04-21T02:20:05.000;4.5;5.00;18.71;1
2019-04-21T01:25:05.000;2019-04-21T02:25:05.000;4.5;5.00;18.76;1
2019-04-21T01:30:05.000;2019-04-21T02:30:05.000;4.1;5.00;18.70;1
2019-04-21T01:35:05.000;2019-04-21T02:35:05.000;4.1;5.00;18.64;1
2019-04-21T01:40:05.000;2019-04-21T02:40:05.000;4.1;5.00;18.63;1
2019-04-21T01:45:05.000;2019-04-21T02:45:05.000;4.1;5.00;18.60;1
2019-04-21T01:50:05.000;2019-04-21T02:50:05.000;3.8;5.00;18.59;1
2019-04-21T01:55:05.000;2019-04-21T02:55:05.000;3.8;5.00;18.58;1
2019-04-21T02:00:05.000;2019-04-21T03:00:05.000;3.8;5.00;18.56;1
2019-04-21T02:05:05.000;2019-04-21T03:05:05.000;3.5;5.00;18.43;1
2019-04-21T02:10:05.000;2019-04-21T03:10:05.000;3.5;5.00;18.39;1
2019-04-21T02:15:05.000;2019-04-21T03:15:05.000;3.5;5.00;18.38;1
2019-04-21T02:20:05.000;2019-04-21T03:20:05.000;3.2;5.00;18.11;1
2019-04-21T02:25:05.000;2019-04-21T03:25:05.000;3.2;5.00;18.04;1
2019-04-21T02:30:05.000;2019-04-21T03:30:05.000;3.5;5.00;17.91;1
2019-04-21T02:35:05.000;2019-04-21T03:35:05.000;3.5;5.00;17.93;1
2019-04-21T02:40:05.000;2019-04-21T03:40:05.000;3.8;5.00;18.13;1
2019-04-21T02:45:05.000;2019-04-21T03:45:05.000;3.8;5.00;18.24;1
2019-04-21T02:50:05.000;2019-04-21T03:50:05.000;3.8;5.00;18.05;1
2019-04-21T02:55:05.000;2019-04-21T03:55:05.000;4.1;5.00;18.04;1
2019-04-21T03:00:05.000;2019-04-21T04:00:05.000;4.1;5.00;18.02;1
2019-04-21T03:05:05.000;2019-04-21T04:05:05.000;4.1;5.00;17.99;1
2019-04-21T03:10:05.000;2019-04-21T04:10:05.000;4.5;5.00;17.99;1
2019-04-21T03:15:05.000;2019-04-21T04:15:05.000;4.5;5.00;17.85;1
2019-04-21T03:20:05.000;2019-04-21T04:20:05.000;4.5;5.00;17.77;1
2019-04-21T03:25:05.000;2019-04-21T04:25:05.000;4.8;5.00;17.86;1
2019-04-21T03:30:05.000;2019-04-21T04:30:05.000;4.8;5.00;17.82;1
2019-04-21T03:35:05.000;2019-04-21T04:35:05.000;5.1;5.00;17.91;1
2019-04-21T03:40:05.000;2019-04-21T04:40:05.000;5.1;5.00;17.94;1
2019-04-21T03:45:05.000;2019-04-21T04:45:05.000;5.4;5.00;17.95;1
2019-04-21T03:50:05.000;2019-04-21T04:50:05.000;5.4;5.00;17.95;1
2019-04-21T03:55:05.000;2019-04-21T04:55:05.000;5.8;5.00;17.94;1
2019-04-21T04:00:05.000;2019-04-21T05:00:05.000;5.8;5.00;17.85;1
2019-04-21T04:05:05.000;2019-04-21T05:05:05.000;5.8;5.00;17.74;1
2019-04-21T04:10:05.000;2019-04-21T05:10:05.000;6.1;5.00;17.58;1
2019-04-21T04:15:05.000;2019-04-21T05:15:05.000;6.1;5.00;17.34;1
2019-04-21T04:20:05.000;2019-04-21T05:20:05.000;6.1;5.00;17.02;1
2019-04-21T04:25:05.000;2019-04-21T05:25:05.000;6.4;5.00;16.58;1
2019-04-21T04:30:05.000;2019-04-21T05:30:05.000;6.4;5.00;15.97;1
2019-04-21T04:35:05.000;2019-04-21T05:35:05.000;6.4;5.00;15.26;1
2019-04-21T04:40:05.000;2019-04-21T05:40:05.000;6.4;5.00;14.41;1
2019-04-21T04:45:05.000;2019-04-21T05:45:05.000;6.4;5.00;13.51;1
2019-04-21T04:50:05.000;2019-04-21T05:50:05.000;6.4;5.00;12.64;1
2019-04-21T04:55:05.000;2019-04-21T05:55:05.000;6.4;5.00;11.75;1
2019-04-21T05:00:05.000;2019-04-21T06:00:05.000;6.4;5.00;10.87;1
2019-04-21T05:05:05.000;2019-04-21T06:05:05.000;6.4;5.00;10.03;1
